Z_PK,Z_ENT,Z_OPT,ZCAMPAIGN_WEBSITE,ZOFFICIAL_WEBSITE,ZCOMMITTEES,ZEMAIL,ZELECTION_HISTORY,ZMAILING_ADDRESS,ZSTAFF,ZPHYSICAL_ADDRESS,ZROOM,ZPHONE,ZTITLE,ZFAX,ZDISTRICT_NUMBER,GOVERNANCE,ZCOMMITTEES,ZOFFICE_3,ZLINK,ZPARTY,GOVERNANCE_LEVEL,ZCONTACT_FORM,ZOFFICE_5,ZOFFICE_4,ZTWITTER,,ZDISTRICT_MAP,ZIMAGE,ZIMAGE_FILENAME,ZFIRSTNAME,ZLASTNAME
139,,,none listed,http://www.gilacountyaz.gov/boardofsupervisors/default.html,none listed,sdawson@co.gila.az.us,,"Gila County Courthouse
1400 E. Ash Street
Globe, AZ 85501",,"Gila County Complex,
610 E HWY 260
P.O. Box 2297
Payson, AZ 85547",,(928) 402-8511,Chairman,(928) 402-8882,,District 3,none listed,,,D,Gila County Board of Supervisors,,,,none listed,,,y,Shirley Dawson.jpg,Shirley,Dawson
140,,,none listed,http://www.gilacountyaz.gov/boardofsupervisors/default.html,none listed,tmartin@co.gila.az.us,,"Gila County Complex,
610 E HWY 260
P.O. Box 2297
Payson, AZ 85547",,"Gila County Courthouse
1400 E. Ash Street
Globe, AZ 85501",,(928) 474-2029,Vice Chairman,(928) 474-0802,,District 1,none listed,,,R,Gila County Board of Supervisors,,,,none listed,,,y,Tommie Cline Martin.jpg,Tommie Cline,Martin
141,,,http://votepastor.com/,http://www.gilacountyaz.gov/boardofsupervisors/default.html,none listed,mpastor@co.gila.az.us,,"Gila County Courthouse
1400 E. Ash Street
Globe, AZ 85501",,"1400 E. Ash Street
Globe, Arizona 85501",,(928) 402-8753,Member,(928) 402-0190,,District 2,none listed,,,D,Gila County Board of Supervisors,,,,none listed,,,Y,Michael A. Pastor.jpg,Michael A.,Pastor
142,,,none listed,http://www.co.gila.az.us/countyattorney/default.html,none listed,none listed,,"1400 E. Ash Street
Globe, Arizona 85501",,"Gila County Courthouse
1400 E. Ash Street
Globe, AZ 85501",,(928) 425-3231 :(Global Office) * (928) 425-4120 :(Global Downtown Office) * (928) 474-4068 :(Payson Office),Attorney,none listed,,Gila County,none listed,"Globe Downtown Office:
149 S. Broad Street
Globe, Arizona 85501",,R,Gila County Attorney's Office,,,"Payson Office:
714 S. Beeline Hwy. Ste 202
Payson, Arizona 85541",none listed,,,y,Daisy Flores.jpg,Daisy,Flores
143,,,http://sheriffjohnarmer.com/,http://www.co.gila.az.us/sheriff/default.html,none listed,none listed,,"
1400 E. Ash Street
Globe, AZ 85501
",,1400 E. Ash Street,,(928)-425-3231,Sheriff,none listed,,Gila County,none listed,,,D,Gila County Sheriff's Office,,,,none listed,,,n,JohnRArmer.jpg,John R.,Armer
144,,,none listed,http://www.co.gila.az.us/treasurer/default.html,none listed,none listed,,"P.O. Box 1093, Globe, Arizona 85502",,"Globe, AZ 85501",,(928) 402-8703,Treasurer,none listed,,Gila County,none listed,,,D,Gila County Treasurer's Office,,,,none listed,,,y,,Debora,Savage
145,,,none listed,http://www.co.gila.az.us/recorder/default.html,none listed,none listed,,"1400 East Ash Street
Globe, Arizona 85501",,"
1400 East Ash Street
Globe, Arizona 85501",,"
(928) 402-8731
",Recorder,none listed,,Gila County,none listed,,,D,Gila County Rcorder's Office,,,,none listed,,,n,Sadie Tomerlin Dalton.jpg,Sadie,Tomerlin Dalton
146,,,none listed,http://www.co.gila.az.us/assessor/default.html,none listed,none listed,,"
1400 East Ash Street
Globe, Arizona 85501",,"921 Thatcher Blvd
Safford AZ, 85546",,(928) 425-3231,Assessor,none listed,,Gila County,none listed,,,D,Gila County Assessor's Office,,,,none listed,,,y,,Dale,Hom
147,,,none listed,http://www.graham.az.gov/Graham_CMS/BOS.aspx?id=2372,none listed,djohn@graham.az.gov,,"921 Thatcher Blvd
Safford AZ, 85546",,"921 Thatcher Blvd
Safford AZ, 85546",,(928) 428-3250,Supervisor,"(928) 428-5951
",,District 1,none listed,,,D,Graham County Board of Supervisors,,,,none listed,,,y,Drew John.jpg,Drew,John
148,,,none listed,http://www.graham.az.gov/Graham_CMS/BOS.aspx?id=2374,none listed,jpalmer@graham.az.gov,,"921 Thatcher Blvd
Safford AZ, 85546",,"921 Thatcher Blvd.
Safford AZ  85546",,(928) 428-3250,Supervisor,(928) 428-5951,,District 2,none listed,,,R,Graham County Board of Supervisors,,,,none listed,,,y,JimPalmer.jpg,Jim,Palmer
149,,,none listed,http://www.graham.az.gov/Graham_CMS/BOS.aspx?id=2376,none listed,mherrington@graham.az.gov,,"921 Thatcher Blvd
Safford AZ, 85546",,"800 W. Main Street
Safford AZ  85546",,(928) 428-3250,Supervisor,(928) 428-5951,,District 3,none listed,,,R,Graham County Board of Supervisors,,,,none listed,,,n,MarkHerrington.jpg,Mark,Herrington
150,,,none listed,http://www.graham.az.gov/Graham_CMS/Attorney.aspx?id=134,none listed,kangle@graham.az.gov,,"800 W. Main Street
Safford AZ  85546",,"523 10th Avenue
Safford AZ  85546",,(928) 428-3620,Attorney,(928) 428-7200,,Graham County,none listed,,,D,Graham County Attorney's Office,,,,none listed,,,y,,Kenny,Angle
151,,,http://www.pj4sheriff.com/,http://www.graham.az.gov/Graham_CMS/Sheriff.aspx?id=866,none listed,pallred@graham.az.gov,,"523 10th Avenue
Safford AZ  85546",,"921 Thatcher Blvd
Safford, AZ  85546",,(928) 428-3141,Sheriff,(928) 428-2487,,Graham County,none listed,,,R,Graham County Sheriff's Office,,,,none listed,,,y,Preston Allred.jpg,Preston J.,Allred
152,,,none listed,http://www.graham.az.gov/Graham_CMS/Treasurer.aspx?id=322,none listed,jreynolds@graham.az.gov,,"921 Thatcher Blvd
Safford, AZ  85546",,"Graham County Recorder
PO Box 747
Safford AZ  85548",,(928) 428-3440,Treasurer,(928) 428-3991,,Graham County,none listed,"General Services Building, 1st Floor,
921 Thatcher Blvd., Safford AZ  85546",,D,Graham County Treasurer's Office,,,,none listed,,,y,Jean Reynolds.jpg,Jean,Reynolds
153,,,none listed,http://www.graham.az.gov/Graham_CMS/Recorder.aspx?id=2414,none listed,wjohn@graham.az.gov,,"Graham County Recorder
PO Box 747
Safford AZ  85548",,"General Services Building
921 Thatcher Blvd.
Safford, AZ. 85546",,(928) 428-3560,Recorder,(928) 428-8828,,Graham County,none listed,"General Services Building
2nd Floor
921 Thatcher Blvd.
Safford AZ  85546",,D,Graham County Recorder's Office,,,,none listed,,,wouldn't send one,Wendy John.jpg,Wendy,John
154,,,none listed,http://www.graham.az.gov/Graham_CMS/Assessor.aspx?id=124,none listed,dalder@graham.az.gov,,"General Services Building
921 Thatcher Blvd.
Safford, AZ. 85546",,"253 Fifth Street
P. O. Box 908
Clifton, AZ 85533",,(928) 428-2828,Assessor,none listed,,Graham County,none listed,,,R,Graham County Assessor's Office,,,,none listed,,,n,,Darlene,Alder
155,,,none listed,http://www.co.greenlee.az.us/bos/,none listed,hruedas@co.greenlee.az.us,,"253 Fifth Street
P. O. Box 908
Clifton, AZ 85533",,"253 Fifth Street
P. O. Box 908
Clifton, AZ 85533",,(928) 865-2072,Chairman,(928) 865-4417,,District 1,none listed,,,D,Greenlee County Board of Supervisors,,,,none listed,,,n,,Hector,Ruedas
156,,,none listed,http://www.co.greenlee.az.us/bos/,none listed,dgomez@co.greenlee.az.us,,"253 Fifth Street
P. O. Box 908
Clifton, AZ 85533",,"253 Fifth Street
P. O. Box 908
Clifton, AZ 85533",,(928) 865-2072,Member,(928) 865-4417,,District 1,none listed,,,D,Greenlee County Board of Supervisors,,,,none listed,,,y,,David,Gomez
157,,,none listed,http://www.co.greenlee.az.us/bos/,none listed,rlunt@co.greenlee.az.us,,"253 Fifth Street
P. O. Box 908
Clifton, AZ 85533",,"P.O. Box 1717
223 Fifth Street
Clifton, AZ 85533",,(928) 865-2072,Member,(928) 865-4417,,District 3,none listed,,,D,Greenlee County Board of Supervisors,,,,none listed,,,y,Richard Lunt.png,Richard,Lunt
158,,,none listed,http://www.co.greenlee.az.us/attorney/,none listed,drapier@co.greenlee.az.us,,"P.O. Box 1717
223 Fifth Street
Clifton, AZ 85533",,"824 S. Coronado Blvd.
P.O. Box 998
Clifton, AZ 85533",,(928) 865-4108 * (928) 865-4109,Attorney,(928) 865-4665,,Greenlee County,none listed,,,D,Greenlee County Attorney's Office,,,,none listed,,,y,Derek D. Rapier.jpg,Derek D.,Rapier
159,,,none listed,http://www.co.greenlee.az.us/sheriff/,none listed,stucker@co.greenlee.az.us,,"824 S. Coronado Blvd.
P.O. Box 998
Clifton, AZ 85533",,"253 Fifth St
P.O. Box 1227
Clifton, AZ 85533",,(928) 865-4149,Sheriff,(928) 865-4883,,Greenlee County,none listed,,,D,Greenlee County Sheriff's Office,,,,none listed,,,n,Steve Tucker.jpg,Steve,Tucker
160,,,none listed,http://www.co.greenlee.az.us/treasurer/,none listed,phernandez@co.greenlee.az.us,,"253 Fifth St
P.O. Box 1227
Clifton, AZ 85533",,"253 Fifth St
P.O. Box 1625
Clifton, AZ 85533",,(928) 865-3422,Treasurer,(928) 865-4417,,Greenlee County,none listed,,,D,Greenlee County Treasurer's Office,,,,none listed,,,incoming,,Patricia,Hernandez
161,,,none listed,http://www.co.greenlee.az.us/recorder/,none listed,bmanuz@co.greenlee.az.us,,"253 Fifth St
P.O. Box 1625
Clifton, AZ 85533",,"253 Fifth Street
P.O. Box 777
Clifton, AZ 85533",,(928) 865-2632 * (928) 865-1717,Recorder,(928) 865-4417,,Greenlee County,none listed,,,D,Greenlee County Recorder's Office,,,,none listed,,,incoming,,Berta,Manuz
162,,,none listed,http://www.co.greenlee.az.us/assessor/,none listed,ldurr@co.greenlee.az.us,,"253 Fifth Street
P.O. Box 777
Clifton, AZ 85533",,"1108 Joshua Ave, Parker, AZ 85344",,(928) 865-5302,Assessor,(928) 865-4417,,Greenlee County,none listed,,,D,Greenlee County Assessor's Office,,,,none listed,,,y,,Linda,Durr
163,,,none listed,http://www.co.la-paz.az.us/,none listed,spierce@co.la-paz.az.us,,"1108 Joshua Ave, Parker, AZ 85344",,"1108 Joshua Ave, Parker, AZ 85344",,(928) 669-6115,Supervisor,none listed,,District 1,none listed,,,D,La Paz County Board of Supervisors,,,,none listed,,,y,Pic_Sandy_Pierce.jpg,Sandy,Pierce
164,,,none listed,http://www.co.la-paz.az.us/,none listed,jdrum@co.la-paz.az.us,,"1108 Joshua Ave, Parker, AZ 85344",,"1108 Joshua Ave, Parker, AZ 85344",,(928) 669-6115,Supervisor,none listed,,District 2,none listed,,,R,La Paz County Board of Supervisors,,,,none listed,,,y,Pic_John_Drum.jpg,John,Drum
165,,,none listed,http://www.co.la-paz.az.us/,none listed,hirwin@co.la-paz.az.us,,"1108 Joshua Ave, Parker, AZ 85344",,"1320 Kofa Avenue
Parker, Arizona  85344",,(928) 669-6115,Supervisor,none listed,,District 3,none listed,,,R,La Paz County Board of Supervisors,,,,none listed,,,n,Pic_Holly_Irwin.jpg,Holly,Irwin
166,,,none listed,http://www.co.la-paz.az.us/,none listed,svederman@co.la-paz.az.us,,"1320 Kofa Avenue
Parker, Arizona  85344",,"1109 Arizona Street
Parker, Arizona 85344",,(928) 669-6118,County Attorney,(928) 669-2019,,La Paz County,none listed,,,R,La Paz County Attorney's Office,,,,none listed,,,n,,Sam,Vederman
167,,,none listed,http://www.co.la-paz.az.us/,none listed,dlowery@co.la-paz.az.us,,"1109 Arizona Street
Parker, Arizona 85344",,"1112 Joshua Avenue, Suite 203
Parker, Arizona 85344",,(928) 669-6141,County Sheriff,none listed,,La Paz County,none listed,,,D,La Paz County Sheriff's Office,,,,none listed,,,n,,Don,Lowery
168,,,none listed,http://www.co.la-paz.az.us/,none listed,esolper@co.la-paz.az.us,,"1112 Joshua Avenue, Suite 203
Parker, Arizona 85344",,"1112 Joshua Ave., Ste. 201
Parker, AZ 85344",,"(928) 669-6145
",County Treasurer,none listed,,La Paz County,none listed,,,D,La Paz County Treasurer's Office,,,,none listed,,,n,,Ellen,Solper
169,,,none listed,http://www.co.la-paz.az.us/,none listed,recorder@co.la-paz.az.us,,"1112 Joshua Ave., Ste. 201
Parker, AZ 85344",," 1112 Joshua Avenue, Suite 204
Parker, Arizona  85344",,(928) 669-6136 * (888) 526-8685,County Recorder,none listed,,La Paz County,none listed,,,R,La Paz County Recorder's Office,,,,none listed,,,n,,Shelly,Baker
170,,,none listed,http://www.co.la-paz.az.us/,none listed,gnault@co.la-paz.az.us,,"P.O. Box 790, Parker, AZ 85344",,"301 W. Jefferson, 10th Floor
Phoenix, Arizona 8500",,"(928) 669-6165
",County Assessor,(928) 669-9740,,La Paz County,none listed,,,R,La Paz County Assessor's Office,,,,none listed,,,y,,George,Nault
171,,,none listed,http://maricopa.gov/Dist1/,none listed,fbrock@mail.maricopa.gov,,"301 W. Jefferson, 10th Floor
Phoenix, Arizona 8500
",,"301 W. Jefferson, 10th Floor
Phoenix, Arizona 8500",,(602) 506-1776,"Supervisor, District 1",none listed,,Maricopa County,none listed,,,R,Maricopa County Board of Supervisors,,,,none listed,,,y,FultonBrock.jpg,Fulton,Brock
172,,,none listed,http://maricopa.gov/Dist2/,none listed,dstapley@mail.maricopa.gov,,"301 W. Jefferson, 10th Floor
Phoenix, Arizona 8500
",,"301 W. Jefferson, 10th Floor
Phoenix, Arizona 8500",,(602) 506-7431,"Supervisor, District 2",none listed,,Maricopa County,none listed,,,R,Maricopa County Board of Supervisors,,,,none listed,,,y,DonStapley.jpg,Don,Stapley
173,,,none listed,http://maricopa.gov/Dist3/,none listed,akunasek@mail.maricopa.gov,,"301 W. Jefferson, 10th Floor
Phoenix, Arizona 8500
",,"301 W. Jefferson, 10th Floor
Phoenix, Arizona 8500",,(602) 506-7562,"Supervisor, District 3",none listed,,Maricopa County,none listed,,,R,Maricopa County Board of Supervisors,,,,none listed,,,y,AndyKunasek.jpg,Andy,Kunasek
174,,,none listed,http://maricopa.gov/Dist4/,none listed,mwwilson@mail.maricopa.gov,,"301 W. Jefferson, 10th Floor
Phoenix, Arizona 8500
",,"301 W. Jefferson, 10th Floor
Phoenix, Arizona 8500",,(602) 506-7642,"Supervisor, District 4",none listed,,Maricopa County,none listed,,,R,Maricopa County Board of Supervisors,,,,none listed,,,y,MaxWilson.jpg,Max,Wilson
175,,,none listed,http://maricopa.gov/Dist5/,none listed,mrwilcox@mail.maricopa.gov,,"301 W. Jefferson, 10th Floor
Phoenix, Arizona 8500
",,"301 W. Jefferson, Suite 800
Phoenix, Arizona 85003",,(602) 506-7092,"Supervisor, District 5",none listed,,Maricopa County,none listed,,,D,Maricopa County Board of Supervisors,,,,none listed,,,y,MaryRoseWilcox.jpg,Mary Rose,Wilcox
176,,,none listed,http://www.maricopacountyattorney.org/index.html,none listed,none listed,,"301 W. Jefferson, Suite 800
Phoenix, Arizona 85003",,"100 West Washington
Suite 1900
Phoenix, AZ 85003",,(602) 506-3411,County Attorney,none listed,,Maricopa County,none listed,,,R,Maricopa County Attorney' Office,http://www.maricopacountyattorney.org/contact/,,,none listed,,,y,Andrew Thomas.jpg,Andrew,Thomas
177,,,http://www.sheriffjoe.org/,http://www.mcso.org/index.php?a=Home,none listed,J_Doe@mcso.maricopa.gov,,"100 West Washington
Suite 1900
Phoenix, AZ 85003",,"301 West Jefferson, Suite 100, Phoenix, Arizona 85003",,(602) 876-1801,County Sheriff,none listed,,Maricopa County,none listed,,,R,Maricopa County Sheriff's Office,http://www.mcso.org/index.php?a=GetModule&mn=Contact_Us&p=pubcom,,,twitter.com/realsheriffjoe,,,y,Joe Arpaio.jpg,Joe,Arpaio
178,,,none listed,http://treasurer.maricopa.gov/index.htm,none listed," 	treasurer@mail.maricopa.gov",,"100 West Washington
Suite 1900
Phoenix, AZ 85003",,"(Main office)
111 S. Third Ave.
Phoenix AZ 85003",,(602) 506-8511,County Treasurer,(602) 506-1102,,Maricopa County,none listed,,,R,Maricopa County Treasurer's Office,,,,none listed,,,y,"Charles ""Hos"" Hoskins.jpg",Charles,Hoskins
179,,,none listed,http://recorder.maricopa.gov/home.htm,none listed,hpurcell@cox.net,,"(Main office)
111 S. Third Ave., Phoenix, AZ 85003",,"(Main office)
301 W. Jefferson Street
Phoenix, Az 85003",,(602) 506-3535 :(Main office) * (602) 506-2348 :(Main office TTD) * (602) 506-3535 :(Mesa office) * (602) 506-2348 :(Mesa office TTD) * (602) 506-1511 :(MCTEC office) * (602) 506-2348 :(MCTEC office TTD),County Recorder,none listed,,Maricopa County,none listed,"(Mesa office)
222 E. Javelina
Mesa AZ 85210",,R,Maricopa County Recorder and Elections Department,http://recorder.maricopa.gov/web/contactus.aspx,,"(MCTEC office)
510 S. Third Ave.
Phoenix AZ 85003",none listed,,,y,HelenPurcell.jpg,Helen,Purcell
180,,,none listed,http://www.maricopa.gov/Assessor/Default.aspx,none listed,assessorhr@mail.maricopa.gov,,"301 W. Jefferson St.  Phoenix, AZ 85003 ",,"700 W. Beale Street
Kingman, AZ 86401",,(602) 506-3406,County Assessor,none listed,,Maricopa County,none listed,"(Northwest Facility)
51 Bells Business Park
16700 N. 51st Avenue, Building F-1
Phoenix, Az 85027",,R,Maricopa County Assessor,http://www.maricopa.gov/Feedback/Default.aspx?Keyword1=Assessor&Keyword2=Address,"(Southeast Facility)
8240 S. Kyrene Rd, Suite 113
Tempe, Az 85284","(Northeast Facility)
15023 N. 75th St.
Scottsdale, Az 85260 ",none listed,,,y,Keith E. Russell.jpg,Keith E.,Russell
181,,,none listed,http://www.co.mohave.az.us/ContentPage.aspx?id=188&cid=214,none listed,gary.watson@co.mohave.az.us,,(none),,"1130 Hancock Road
Bullhead City, AZ 86442",,(928) 753-0722,"Supervisor, District 1",(928) 718-4955,,Mohave County,none listed,,,R,Mohave County Board of Supervisors,,,,none listed,,,y,Gary Watson.jpg,Gary,Watson
182,,,none listed,http://www.co.mohave.az.us/ContentPage.aspx?id=188&cid=245,none listed,tom.sockwell@co.mohave.az.us,,(none),,"2001 College Drive, Suite 90
Lake Havasu City, AZ 86403",,(928) 758-0713,"Supervisor, District 2",(928) 758-0729,,Mohave County,none listed,,,R,Mohave County Board of Supervisors,,,,none listed,,,y,Tom Sockwell.jpg,Tom,Sockwell
183,,,none listed,http://www.co.mohave.az.us/ContentPage.aspx?id=188&cid=246,none listed,buster.johnson@co.mohave.az.us,,(none),,"315 N. 4th Street
Kingman, AZ 86401",,(928) 453-0724,"Supervisor, District 3",(928) 453-0717,,Mohave County,none listed,,,R,Mohave County Board of Supervisors,,,,none listed,,,y,Buster Johnson.jpg,Buster,Johnson
184,,,none listed,http://www.co.mohave.az.us/ContentPage.aspx?id=112,none listed,matt.smith@co.mohave.az.us,,(none),,none listed,,(928) 753-0719,County Attorney,(928) 753-2669,,Mohave County,none listed,,,R,Mohave County Attorney's Office,,,,none listed,,,y,Matthew J. Smith.jpg,Matthew J.,Smith
185,,,none listed,http://legacy.co.mohave.az.us/depts/sheriff/sheriff_search_rescue.asp,none listed,tom.sheahan@co.mohave.az.us,,"PO Box 1191
600 W. Beale Street
Kingman, AZ 86402",," 700 W. Beale Street                    
                               Kingman, AZ 86401",,(928) 753-0753 * (800) 522-4312,County Sheriff,(928) 753-0765,,Mohave County,none listed,,,R,Mohave County Sheriff's Office,,,,none listed,,,y,Tom Sheahan.jpg,Tom,Sheahan
186,,,none listed,http://www.co.mohave.az.us/ContentPage.aspx?id=132,none listed,melissa.havatone@co.mohave.az.us,," 700 W. Beale Street                    
                               Kingman, AZ 86401",,none listed,,(928) 753-0737,County Treasurer,(928) 753-0788,,Mohave County,none listed,,,R,Mohave County Treasurer's Office,,,,none listed,,,n,Melissa Havatone.jpg,Melissa,Havatone
187,,,none listed,http://www.co.mohave.az.us/ContentPage.aspx?id=129,none listed,Carol.Meier@co.mohave.az.us,,"P.O. Box 70
700 W. Beale Street
Kingman, AZ 86402",,"2001 College Drive
Lake Havasu City, AZ 86403",,(928) 753-0701,County Recorder,(928) 753-0727,,Mohave County,none listed,,,R,Mohave County Recorder's Office,,,,none listed,,,n,,Carol,Meier
188,,,none listed,http://www.co.mohave.az.us/ContentPage.aspx?id=111,none listed,teresa.wegscheid@co.mohave.az.us,,"P.O. Box 7000
700 W. Beale Street
Kingman, AZ 86402",,"100 East Carter Drive
South Highway 77
P.O. Box 668
Holbrook, AZ 86025",,"(928) 753-0703 :(Main office) * (928) 758-0701 :(Bullhead City field office) * (928) 453-0702 :(Lake Havasu office)
",County Assessor,(928) 753-0749 :(Main office) * (928) 758-0711 :(Bullhead City office) * (928) 453-0726 :(Lake Havasu office),,Mohave County,none listed,"(Bullhead City Field Office)
1130 Hancock Street
Bullhead City, AZ 86442",,R,Mohave County Assessor's Office,,,"(Lake Havasu City Field Office)
2001 College Drive
Lake Havasu City, AZ 86403",none listed,,,Y,,Ron,Nicholson
189,,,none listed,http://www.navajocountyaz.gov/bos/dist1.aspx,none listed,none listed,,"100 East Carter Drive
South Highway 77
P.O. Box 668
Holbrook, AZ 86025",,"100 East Carter Drive
South Highway 77
P.O. Box 668
Holbrook, AZ 86025",,(928) 524-4053,"Supervisor, District 1",none listed,,Navajo County,none listed,,,D,Navajo County Board of Supervisors,http://www.navajocountyaz.gov/comments.aspx?department=35,,,none listed,,,Y,Jonatha_Nez.jpg,Jonathan,Nez
190,,,none listed,http://www.navajocountyaz.gov/bos/dist2.aspx,none listed,"	ncbos@co.navajo.az.us",,"100 East Carter Drive
South Highway 77
P.O. Box 668
Holbrook, AZ 86025",,"100 East Carter Drive
South Highway 77
P.O. Box 668
Holbrook, AZ 86025",,(928) 524-4053,"Supervisor, District 2",none listed,,Navajo County,none listed,,,D,Navajo County Board of Supervisors,http://www.navajocountyaz.gov/comments.aspx?department=35,,,none listed,,,Y,Jesse_Thompson.jpg,Jesse,Thompson
191,,,none listed,http://www.navajocountyaz.gov/bos/dist3.aspx,none listed,"	ncbos@co.navajo.az.us",,"100 East Carter Drive
South Highway 77
P.O. Box 668
Holbrook, AZ 86025",,"100 East Carter Drive
South Highway 77
P.O. Box 668
Holbrook, AZ 86025",,(928) 524-4053,"Supervisor, District 3",none listed,,Navajo County,none listed,,,D,Navajo County Board of Supervisors,http://www.navajocountyaz.gov/comments.aspx?department=35,,,none listed,,,Y,JR_DeSpain.jpg,J.R.,DeSpain
192,,,none listed,http://www.navajocountyaz.gov/bos/dist4.aspx,none listed,"	ncbos@co.navajo.az.us",,"100 East Carter Drive
South Highway 77
P.O. Box 668
Holbrook, AZ 86025",,"100 East Carter Drive
South Highway 77
P.O. Box 668
Holbrook, AZ 86025",,(928) 524-4053,"Supervisor, District 4",none listed,,Navajo County,none listed,,,R,Navajo County Board of Supervisors,http://www.navajocountyaz.gov/comments.aspx?department=35,,,none listed,,,Y,david_Tenney.jpg,David,Tenney
193,,,none listed,http://www.navajocountyaz.gov/bos/dist5.aspx,none listed,ncbos@co.navajo.az.us,,"100 East Carter Drive
South Highway 77
P.O. Box 668
Holbrook, AZ 86025",,"100 East Carter Drive
South Highway 77
P.O. Box 668
Holbrook, AZ 86025",,(928) 524-4053,"Supervisor, District 5",none listed,,Navajo County,none listed,,,D,Navajo County Board of Supervisors,http://www.navajocountyaz.gov/comments.aspx?department=35,,,none listed,,,n,Gerald_brownlow.jpg,Jerry,Brownlow
194,,,none listed,http://www.navajocountyaz.gov/attorney/,none listed,mbowers@co.navajo.az.us,,"Navajo County
County Attorney's Office
P.O. Box 668
Holbrook, AZ 86025-0668",,"100 East Carter Drive
South Highway 77
P.O. Box 668
Holbrook, AZ 86025",,(928) 524-4026,County Attorney,(928) 524-4276,,Navajo County,none listed,,,D,Navajo County Attorney's Office,,,,none listed,,,Y,,Melvin,Bowers
195,,,none listed,http://www.navajocountyaz.gov/sheriff/,none listed,none listed,,"PO Box 668
Holbrook, AZ 86025",,"100 East Carter Drive
South Highway 77
P.O. Box 668
Holbrook, AZ 86025",,(928) 524-4450,County Sheriff,none listed,,Navajo County,none listed,none listed,,D,Navajo County Sheriff's Office,http://www.navajocountyaz.gov/comments.aspx?department=527,,,none listed,,,Y,Kelly_KC_Clark.jpg,Kelly,Clark
196,,,none listed,http://www.navajocountyaz.gov/treasurer/,none listed,manny.hernandez@co.navajo.az.us,,"100 East Carter Drive
South Highway 77
P.O. Box 668
Holbrook, AZ 86025",,"100 East Carter Drive
South Highway 77
P.O. Box 668
Holbrook, AZ 86025",,(928) 524-4172,County Treasurer,(928) 524-4211,,Navajo County,none listed,,,D,Navajo County Treasurer's Office,http://www.navajocountyaz.gov/comments.aspx?department=538,,,none listed,,,Y,manny_hernandez.jpg,Manny,Hernandez
197,,,none listed,http://www.navajocountyaz.gov/recorder/,none listed,laurie.justman@co.navajo.az.us,,"100 East Carter Drive
South Highway 77
P.O. Box 668
Holbrook, AZ 86025",,"Navajo County
Assessor Office
100 East Carter Drive
South Highway 77
P.O. Box 668
Holbrook, AZ 86025",,(928) 524-4194,County Recorder,(928) 524-4308,,Navajo County,none listed,,,D,Navajo County Recorder's Office,http://www.navajocountyaz.gov/comments.aspx?department=460,,,none listed,,,Y,Laurette_Justman.jpg,Laurette,Justman
198,,,none listed,http://www.navajocountyaz.gov/assessor/,none listed,Assessor@co.navajo.az.us,,"100 East Carter Drive
South Highway 77
P.O. Box 668
Holbrook, AZ 86025",,"1015 Fair Street
Prescott, AZ 86305-1852",,(928) 532-6001 :(Show Low) * (928) 524-4086 :(Holbrook),County Assessor,(928) 524-4291,,Navajo County,none listed,"(Show Low Office)
620 E. McNeil
Show Low, AZ 85901",,D,Navajo County Assessor's Office,http://www.navajocountyaz.gov/comments.aspx?department=87,,,none listed,,,y,cammy_Darris.jpg,Cammy,Darris
199,,,none listed,http://www.co.yavapai.az.us/Content.aspx?id=22318,none listed,web.bos.district1@co.yavapai.az.us,,"1015 Fair Street
Prescott, AZ 86305-1852
",,"1015 Fair Street
Prescott, AZ 86305-1852",,(928) 771-3200,Member,(928) 771-3257,,District 1,none listed,,,R,Yavapai County Board of Supervisors,,,,none listed,,,y,Carol_Springer.jpg,Carol,Springer
200,,,none listed,http://www.co.yavapai.az.us/Content.aspx?id=24332,none listed,web.bos.district2@co.yavapai.az.us,,"1015 Fair Street
Prescott, AZ 86305-1852
",,"1015 Fair Street
Prescott, AZ 86305-1852",,(928) 771-3200,Chairman,(928) 771-3257,,District 2,none listed,,,R,Yavapai County Board of Supervisors,,,,none listed,,,y,Thomas_Thuurman.jpg,Thomas,Thurman
201,,,none listed,http://www.co.yavapai.az.us/Content.aspx?id=22884,none listed,web.bos.district3@co.yavapai.az.us,,"1015 Fair Street
Prescott, AZ 86305-1852
",,"Yavapai County Criminal Justice and Detention Center
255 East Gurley Street
Prescott, AZ 86301",,(928) 639-8110,Vice Chairman,(928) 639-8146,,District 3,none listed,,,R,Yavapai County Board of Supervisors,,,,none listed,,,Y,Chip_Davis.jpg,Chip,Davis
202,,,none listed,http://www.co.yavapai.az.us/Attorney.aspx,none listed,none listed,," 700 W. Beale Street                    
                               Kingman, AZ 8640",,"255 E. Gurley Street 
Prescott, Arizona  86301 
(928) 771-3260 ",,(928) 771-3344,County Attorney,(928) 771-3110,,Yavapai County,none listed,"County Attorney's Office - Camp Verde
2830 N. Commonwealth Drive, Suite 106
Camp Verde, AZ 86322",,R,Yavapai County Attorney,,,,none listed,,,Y,Sheila_Polk.jpg,Sheila,Polk
